word,language,sentiment_score
dakul,Bikol,0
dakulang,Bikol,1
dakulon,Bikol,-1
dalawang,Tagalog,-1
dance,Bikol,1
dangerous,English,-1
dapat,Tagalog,0
daw,Bikol,0
dawa,Bikol,-1
day,Bikol,1
deadline,Bikol,0
debate,Bikol,1
debating,English,1
deceitful,English,-1
decision,English,0
deceptive,English,-1
dedicated,English,1
dedikasyon,Bikol,1
deep,English,0
degree,Bikol,0
design,Bikol,1
designer,English,1
designs,Bikol,0
destructive,English,-1
devout,English,1
did,English,0
difficult,English,-1
difficulty,English,-1
digital,English,1
diligent,English,1
din,Tagalog,-1
directionless,English,-1
disappointed,English,-1
disciplined,English,1
discourteous,English,-1
discussion,Bikol,0
disrespectful,English,-1
disruptive,English,-1
distrusting,English,-1
dito,Tagalog,0
do,English,0
does,English,0
doesn,English,-1
doing,English,0
don,English,0
doon,Tagalog,0
down,English,-1
dreamless,English,-1
drive,Bikol,1
dumalo,Tagalog,1
dumb,English,-1
during,English,0
duwa,Bikol,0
duwang,Bikol,-1
each,English,0
earlier,English,-1
early,Bikol,-1
eco-conscious,English,1
eco-friendly,English,1
economical,English,1
economics,Bikol,0
educational,Bikol,0
educator,English,1
efficient,English,1
egotistical,English,-1
elegant,English,1
empirical,English,1
energetic,English,1
engineering,Bikol,0
enjoy,Tagalog,-1
enjoyed,English,-1
entries,Bikol,1
entry,Tagalog,1
envious,English,-1
environmental,Bikol,1
environmentally-conscious,English,1
equipment,English,-1
equitable,English,1
eskwela,Bikol,1
especially,English,-1
essay,Bikol,1
essays,English,1
estadistika,Tagalog,0
estudyante,Bikol,1
estudyante,Bikol,0
ethical,English,1
even,English,0
event,Tagalog,0
events,Bikol,0
every,English,-1
everyone,English,-1
exam,English,1
excellence,English,1
excellent,English,1
exciting,English,1
exhaustive,English,1
exhibit,Bikol,1
exhibits,Bikol,1
expected,English,0
experimental,English,1
expert,English,1
explaining,English,1
exploitative,English,-1
exploring,English,1
extracurricular,Bikol,1
faculty,Bikol,-1
fair,Bikol,1
faithful,English,1
faithless,English,-1
familiar,English,0
fashion,Bikol,1
fast,English,-1
favorite,English,1
fee,Bikol,-1
fees,Bikol,-1
fest,Bikol,1
festival,Bikol,0
few,English,0
field,Bikol,1
filipino,Bikol,1
film,Bikol,1
final,Bikol,0
financial,Bikol,1
fine,Bikol,1
finished,English,1
finishing,English,-1
fitness-minded,English,1
flying,Bikol,1
for,English,0
forgetful,English,-1
from,English,1
fun,English,1
further,English,0
futureless,English,-1
gabos,Bikol,-1
ganito,Tagalog,0
garden,Bikol,1
gawain,Tagalog,0
general,English,0
generous,English,1
genius,English,1
get,English,-1
getting,English,-1
giraray,Bikol,-1
given,English,-1
gluttonous,English,-1
God-fearing,English,1
good,English,1
got,English,1
grade,English,1
grado,Bikol,1
graduate,English,1
graduation,Bikol,1
graphic,Bikol,1
great,English,1
greedy,English,-1
grouchy,English,-1
group,English,-1
grumpy,English,-1
grupo,Tagalog,-1
grupong,Bikol,-1
guess,English,0
gurangon,Bikol,-1
guro,Tagalog,1
gusto,Bikol,1
habang,Tagalog,0
habo,Bikol,-1
had,English,0
halaman,Tagalog,1
handa,Tagalog,1
hanggang,Tagalog,0
happy,English,1
harani,Bikol,0
hardworking,English,1
harmful,English,-1
harmonious,English,1
harsh,English,-1
has,English,-1
have,English,0
having,English,-1
he,English,-1
health,Bikol,0
health-conscious,English,1
heartless,English,-1
help,English,1
helpful,English,1
helpless,English,-1
her,English,0
here,English,0
hers,English,0
herself,English,0
higayon,Bikol,0
high,English,1
hiling,Bikol,0
him,English,0
himself,English,0
hindi,Tagalog,-1
hindi masama,Tagalog,0
his,English,0
history,Bikol,1
homework,Bikol,-1
honest,English,1
honors,Bikol,1
hope,English,1
hopeful,English,1
hopeless,English,-1
house,Bikol,0
how,English,0
humane,English,1
humanitarian,English,1
humble,English,1
hustisya,Tagalog,0
huwag,Tagalog,0
huwag kalimutan,Tagalog,0
hypocritical,English,-1
i,English,1
iba,Tagalog,0
ibang,Bikol,0
ibinaba,Tagalog,-1
if,Tagalog,0
ignorant,English,-1
ignorante,Bikol,-1
igwa,Bikol,0
ikaw,Tagalog,0
ilan,Tagalog,0
imaginative,English,1
immersion,Bikol,0
immoral,English,-1
impatient,English,-1
impolite,English,-1
improve,English,-1
improvements,English,-1
impulsive,English,-1
in,English,0
inclusive,English,1
incompetent,English,-1
inconsiderate,English,-1
increased,English,-1
indifferent,English,-1
ineffective,English,-1
ineffectual,English,-1
inept,English,-1
informative,English,1
ingenious,English,1
ini,Bikol,-1
innocent,English,-1
innovations,Bikol,1
innovative,English,1
inobasyon,Tagalog,1
insensitive,English,-1
insignificant,English,-1
inspirasyon,Tagalog,1
inspiration,English,1
inspiring,English,1
installations,Tagalog,0
installations,Bikol,0
instructor,English,-1
instructors,English,1
insulting,English,-1
intellectual,English,1
intelligent,English,1
interactive,English,1
interesado,Bikol,0
interested,English,0
interior,Bikol,0
internship,Bikol,0
intindihin,Tagalog,-1
into,English,0
intresado,Bikol,-1
intuitive,English,1
investigative,English,1
ipinapasang,Tagalog,-1
iresponsable,Tagalog,-1
irresponsible,English,-1
is,English,0
isip,Bikol,-1
isusuot,Tagalog,-1
it,English,0
ito,Tagalog,-1
its,English,0
itself,English,0
iyan,Tagalog,0
iyo,Tagalog,0
iyon,Tagalog,0
job,Bikol,0
join,English,1
joyful,English,1
joyless,English,-1
judgmental,English,-1
just,English,0
ka,Tagalog,0
kaaram,Bikol,1
kadaklan,Bikol,-1
kadakol,Bikol,1
kadakul,Bikol,1
kagamitan,Bikol,-1
kahit,Tagalog,-1
kailangan,Tagalog,-1
kaining,Bikol,0
kaipuhan,Bikol,-1
kalmado,Tagalog,0
kalusugan,Tagalog,-1
kami,Tagalog,0
kan,Bikol,1
kanila,Tagalog,0
kanina,Bikol,-1
kaniya,Tagalog,0
kanta,Tagalog,0
kaogmahan,Bikol,1
kapag,Tagalog,0
kaparteng,Bikol,0
karamihan,Tagalog,-1
karangalan,Tagalog,1
kasama,Tagalog,0
kasamahan,Tagalog,-1
kasanayan,Bikol,1
kaskas,Bikol,-1
kastumo,Tagalog,0
katamtaman,Tagalog,0
katangian,Tagalog,-1
kaunti,Tagalog,0
kaya,Bikol,-1
kayo,Tagalog,0
kinakailangang,Tagalog,0
kita,Bikol,1
klase,Tagalog,-1
klase,Bikol,-1
know,English,0
knowledgeable,English,1
ko,Bikol,-1
kolehiyo,Bikol,-1
kompleto,Bikol,0
kong,Bikol,1
kun,Bikol,0
kung,Bikol,0
labi,Bikol,0
laboratory,Bikol,-1
laboratoryo,Tagalog,-1
lagi,Bikol,0
lahat,Tagalog,-1
lalo,Tagalog,-1
lamang,Tagalog,0
lambang,Bikol,-1
lang,Bikol,0
language,Bikol,0
late,Bikol,-1
laude,Bikol,1
lawful,English,1
lawless,English,-1
lazy,English,-1
leadership,Bikol,0
learned,English,1
learner-centric,English,1
lecture,Bikol,1
lectures,Bikol,1
leksyon,Tagalog,1
lektyur,Bikol,1
lesson,Bikol,-1
lessons,English,1
let,English,0
lethargic,English,-1
library,English,1
libro,Bikol,1
lifeless,English,-1
like,English,1
liked,English,1
literacy,Bikol,1
literary,Bikol,1
literate,English,1
literatura,Bikol,1
literature,English,1
logical,English,1
long,Bikol,-1
look,English,-1
lost,English,-1
lot,English,1
loving,English,1
low,English,-1
loyal,English,1
luma,Tagalog,-1
m,English,-1
ma,Bikol,0
maaari,Tagalog,0
maaga,Bikol,1
maagang,Tagalog,-1
maalalahanin,Tagalog,1
maaraman,Bikol,0
maaramon marhay,Bikol,-1
maayos,Tagalog,1
mababa,Tagalog,-1
mabiis,Tagalog,-1
mabilis,Tagalog,-1
mabilison,Bikol,-1
maboot,Bikol,1
madaling,Tagalog,1
madalum,Bikol,0
madami,Tagalog,0
madaming,Tagalog,-1
made,English,1
madiskarte,Bikol,1
madunongon,Bikol,-1
mag,Bikol,1
magaan,Tagalog,0
magagaling,Tagalog,1
magaganda,Tagalog,1
magaling,Tagalog,1
maganda,Tagalog,1
magaspang,Tagalog,-1
magaspang an ugali,Bikol,-1
magayon,Bikol,1
magayunon,Bikol,1
magazine,Bikol,1
magbasa,Bikol,-1
magbayad,Bikol,-1
magcomply,Bikol,0
maghanap,Bikol,-1
magiging,Tagalog,0
magklase,Bikol,1
magkompletar,Bikol,-1
magpasa,Bikol,-1
magpasabot,Bikol,-1
magpresenta,Tagalog,1
magpresentar,Bikol,1
magraduate,Bikol,1
magsalita,Tagalog,-1
magsubmit,Bikol,0
magsulat,Tagalog,1
magsurat,Bikol,1
magtapos,Bikol,1
magtaram,Bikol,-1
magtatapos,Tagalog,1
magtukdo,Bikol,1
magturo,Tagalog,1
magulo,Tagalog,-1
mahahabang,Tagalog,-1
mahalaga,Tagalog,1
mahina,Tagalog,-1
mahina ang ulo,Tagalog,-1
mahinahon,Tagalog,1
mahirap,Tagalog,-1
mahuhusay,Tagalog,1
mahusay,Tagalog,1
mahusay lang,Bikol,0
maingat,Tagalog,1
maingay,Tagalog,-1
maintained,English,1
maintindihan,Tagalog,1
maisip,Bikol,-1
major,Bikol,-1
makabago,Tagalog,1
maka-bayan,Tagalog,1
maka-Diyos,Tagalog,1
makakalikasan,Tagalog,1
maka-kalikasan,Bikol,1
maka-komunidad,Bikol,1
makasarili,Tagalog,-1
makatao,Tagalog,1
makatarungan,Tagalog,1
makuha,Tagalog,0
makupad,Tagalog,-1
malaking,Tagalog,1
malalim,Tagalog,0
malaman,Tagalog,0
malapit,Tagalog,0
maligaya,Bikol,0
malikhain,Tagalog,1
malinigon,Bikol,1
malinis,Tagalog,1
malupit,Tagalog,-1
maluya,Bikol,-1
man,Bikol,-1
many,English,0
maogma,Bikol,1
maogmahon,Bikol,1
mapabuti,Tagalog,-1
mapagbigay,Tagalog,1
mapagbiro,Tagalog,-1
mapag-imbot,Tagalog,-1
mapagkakatiwalaan,Tagalog,1
mapagkaogma,Bikol,1
mapaglingkod,Tagalog,1
mapagmahal,Tagalog,1
mapagmalasakit,Tagalog,1
mapagmataas,Tagalog,-1
mapagpakumbaba,Tagalog,1
mapagpanggap,Tagalog,-1
mapagpasalamat,Bikol,1
mapagsamantala,Tagalog,-1
mapagsarili,Tagalog,-1
mapang-abala,Tagalog,-1
mapang-abuso,Tagalog,-1
mapanganib,Tagalog,-1
mapang-api,Tagalog,-1
mapanghamak,Tagalog,-1
mapanghusga,Tagalog,-1
mapang-insulto,Tagalog,-1
mapangmaliit,Tagalog,-1
mapangwasak,Tagalog,-1
mapanira,Tagalog,-1
mapanlinlang,Tagalog,-1
maparaan,Tagalog,1
mapurol an payo,Bikol,-1
mapusok,Tagalog,-1
marahay,Bikol,0
marajaw,Bikol,1
marami,Tagalog,0
maraming,Tagalog,0
maramot,Tagalog,-1
maraot,Bikol,-1
marhay,Bikol,1
marka,Tagalog,1
markang,Bikol,1
mas,Bikol,0
masakim,Tagalog,-1
masakit,Bikol,-1
masaliksik,Tagalog,1
masalimuot,Tagalog,-1
masama,Tagalog,-1
masamang,Tagalog,-1
masaya,Tagalog,1
maserbisyo,Tagalog,1
masikap,Tagalog,1
masinop,Tagalog,1
masinup,Bikol,0
masipag,Tagalog,1
maski,Bikol,0
master,Bikol,0
masungit,Bikol,-1
masunurin,Tagalog,1
masyado,Tagalog,0
masyadong,Bikol,-1
mataas,Bikol,1
matagumpay,Tagalog,1
matakaw,Tagalog,-1
matakod,Bikol,1
matalino,Tagalog,1
matapang,Tagalog,1
matatag,Tagalog,1
matematika,Bikol,-1
math,Bikol,0
mathematical,English,1
mathematics,English,-1
matibay,Bikol,1
matigas ang ulo,Tagalog,-1
matigason an payo,Bikol,-1
matino,Bikol,0
matitibay,Bikol,1
matiyaga,Tagalog,1
matulungin,Tagalog,1
maugma,Bikol,1
maunawain,Tagalog,1
may,Tagalog,1
may disiplina,Tagalog,1
mayong aram,Bikol,-1
mayong boses,Bikol,-1
mayong dignidad,Bikol,-1
mayong direksyon,Bikol,-1
mayong gana,Bikol,-1
mayong kakayahan,Bikol,-1
mayong kaluluwa,Bikol,-1
mayong kwenta,Bikol,-1
mayong maginibo,Bikol,-1
mayong mapapala,Bikol,-1
mayong moralidad,Bikol,-1
mayong pag-asa,Bikol,-1
mayong pagka-unawa,Bikol,-1
mayong pagpapahalaga,Bikol,-1
mayong pakiaram,Bikol,-1
mayong pananagutan,Bikol,-1
mayong pananampalataya,Bikol,-1
mayong paninindugan,Bikol,-1
mayong paniniwala,Bikol,-1
mayong prinsipyo,Bikol,-1
mayong puso,Bikol,-1
mayong respeto,Bikol,-1
mayong serbi,Bikol,-1
mayong tiwala,Bikol,-1
mayong utang na loob,Bikol,-1
mayroong,Tagalog,0
me,English,-1
meaningless,English,-1
mediocre,English,0
members,English,-1
mental,Bikol,0
methodical,English,1
mga,Tagalog,1
mga bagay,Tagalog,0
misguided,English,-1
mismo,Tagalog,-1
miyembro,Bikol,-1
mo,Tagalog,0
moderate,English,0
more,English,0
morning,English,1
most,English,-1
mula,Tagalog,0
muli,Tagalog,0
multimedia,Bikol,1
mural,Tagalog,1
murals,Bikol,1
museum,Bikol,1
music,Bikol,1
musical,English,1
my,English,1
myself,English,0
na,Tagalog,-1
nababangaran,Bikol,-1
nabo,Tagalog,-1
naboboringan,Bikol,-1
nadismaya,Bikol,-1
naenjoy,Bikol,-1
nag,Bikol,0
nagayon,Bikol,0
nagbabalak,Tagalog,0
nagbabasa,Bikol,1
nagbibigay,Tagalog,-1
nagduduwa-duwa,Bikol,-1
nagenjoy,Tagalog,0
naghahanda,Bikol,1
naghahapot,Bikol,-1
naghali,Bikol,-1
naghihingoa,Bikol,-1
nagka,Tagalog,-1
naglalaom,Bikol,1
naglaom,Bikol,1
nagmahal,Bikol,-1
nagmamangno,Bikol,-1
nagpartisipar,Bikol,1
nagpepreparar,Bikol,0
nagpunta,Tagalog,-1
nagra,Bikol,-1
nagraragom,Bikol,1
nagrarason,Bikol,-1
nagsisikap,Tagalog,-1
nagtapos,Tagalog,1
nagtatanong,Tagalog,-1
nagtatao,Bikol,-1
nagtuturo,Tagalog,-1
nagustuhan,Tagalog,1
nahihirapan,Tagalog,-1
nahiling,Bikol,1
nakakadanyar,Bikol,-1
nakakahiling,Bikol,-1
nakakakita,Tagalog,-1
nakakalason,Tagalog,-1
nakakaogma,Bikol,1
nakakapagod,Tagalog,-1
nakakapinsala,Tagalog,-1
nakakaresibe,Bikol,-1
nakakastress,Bikol,-1
nakakatanggap,Tagalog,-1
nakastress,Bikol,-1
nakua,Bikol,1
nalalate,Tagalog,-1
namamangha,Tagalog,1
namin,Tagalog,0
napag-usapan,Bikol,0
napangadyakan,Bikol,1
napangalas,Bikol,1
naranasan,Tagalog,-1
nasa tamang landas,Tagalog,0
nasasakitan,Bikol,-1
natapos,Bikol,-1
natin,Tagalog,0
nationalistic,English,1
nature-lover,English,1
natutunan,Tagalog,1
natutuwa,Tagalog,1
natuwa,Tagalog,1
naugma,Bikol,1
nauupod,Bikol,-1
near,English,0
necessary,English,0
need,English,-1
needed,English,-1
neutral,English,-1
new,English,1
ng,Tagalog,0
nga,Bikol,0
ngani,Bikol,-1
ngaya,Bikol,0
ngayon,Tagalog,0
ngayong,Tagalog,-1
ngunit,Tagalog,-1
ngunyan,Bikol,0
ni,Bikol,-1
nila,Tagalog,-1
nilalaman,Tagalog,0
ninda,Bikol,-1
nindang,Bikol,0
ninyo,Tagalog,0
nito,Tagalog,0
niya,Tagalog,0
no,English,0
noisy,English,-1
nor,English,0
normal,English,0
not,English,-1
now,English,1
o,Bikol,-1
obedient,English,1
obligasyon,Bikol,-1
obligations,English,-1
oblivious,English,-1
of,English,0
off,English,0
old,English,-1
on,Bikol,0
once,English,0
only,English,0
open,Bikol,0
oppressive,English,-1
or,English,-1
oragon,Bikol,1
ordinary,English,0
ordinaryo,Bikol,0
organic,Bikol,0
organize,Bikol,0
orog,Bikol,-1
other,English,0
our,English,0
ours,English,0
ourselves,English,0
out,English,0
outdated,English,0
output,Tagalog,1
outputs,Bikol,1
over,English,-1
overbearing,English,-1
own,English,0
pa,Bikol,-1
paagi,Bikol,0
paano,Tagalog,0
paaralan,Tagalog,1
paborito,Bikol,1
padaba,Bikol,-1
pag,Tagalog,-1
pagbayad,Bikol,-1
paggawa,Tagalog,0
paghahanda,Tagalog,0
pagkahubos,Bikol,1
pagkakagawa,Tagalog,1
pagkakataon,Tagalog,0
pagkakatukdo,Bikol,1
pagkatapos,Tagalog,0
pagklaro,Bikol,1
pagpapahusay,Tagalog,-1
pagpapaliwanag,Tagalog,1
pagpapauswag,Bikol,-1
pagpasa,Tagalog,-1
pagpreparar,Bikol,0
pagsasagawa,Tagalog,-1
pagsusulit,Tagalog,1
pagtapos,Tagalog,-1
pagtitiyaga,Bikol,1
pagtukdo,Bikol,-1
pagturo,Tagalog,-1
pagtuturo,Tagalog,1
paintings,Bikol,1
paksa,Tagalog,0
palabas,Bikol,0
pang,Bikol,-1
pangit,Tagalog,-1
pantas,Tagalog,0
paper,Bikol,0
para,Tagalog,-1
paraan,Tagalog,0
paratukdo,Bikol,-1
participants,Bikol,0
participated,English,0
pasadong,Bikol,0
pasensya,Bikol,0
patient,English,1
patriotic,English,1
pay,English,-1
pe,Bikol,1
perform,Bikol,1
performance,Bikol,1
performances,Bikol,1
performing,Bikol,1
pero,Bikol,0
perseverance,English,1
personal,Bikol,-1
personally,English,-1
philosophical,English,1
philosophy,Bikol,0
photography,Bikol,0
physics,Bikol,-1
pieces,Bikol,0
piga,Bikol,0
pigtatao,Bikol,-1
pinababa,Bikol,-1
pinapasa,Bikol,-1
pious,English,1
piraso,Tagalog,0
planning,English,0
planong,Tagalog,0
plants,English,1
pointless,English,-1
polite,English,0
political,Bikol,0
powerless,English,-1
predictable,English,0
preparing,English,0
present,English,1
presenta,Tagalog,0
presentation,Tagalog,0
presentations,Bikol,0
presented,English,1
pretentious,English,-1
production,Bikol,0
profesor,Bikol,1
professor,Bikol,1
proficient,English,1
program,Bikol,0
programa,Bikol,0
programs,English,0
project,Bikol,-1
projects,English,-1
propesor,Bikol,1
proposal,Bikol,0
provides,English,-1
proyekto,Tagalog,-1
psychology,Bikol,0
public-serving,English,1
puno ng enerhiya,Tagalog,1
puno ng pag-asa,Tagalog,1
puno nin enerhiya,Bikol,1
puno nin paglaom,Bikol,1
purposeless,English,-1
put,English,-1
puwedeng,Bikol,0
pwede,Bikol,0
pwede,Tagalog,0
quadrangle,Bikol,0
quiz,Bikol,-1
rare,Bikol,-1
rational,English,1
read,English,1
readings,Bikol,-1
ready,English,1
reasonable,English,0
receive,English,-1
recipe,Tagalog,0
recipes,Bikol,0
recital,Bikol,1
references,Bikol,0
reflective,English,1
regular,English,0
reliable,English,0
requirements,Bikol,-1
research,Bikol,-1
research-oriented,English,1
resourceful,English,1
responsable,Tagalog,1
responsible,English,1
review,Bikol,-1
reviewing,English,-1
rin,Tagalog,-1
robotics,Bikol,0
room,English,1
rude,English,-1
s,English,0
sa,Tagalog,0
saan,Tagalog,0
sabi,Bikol,1
said,English,1
saiya,Bikol,0
sakim,Bikol,-1
sako,Bikol,-1
salud,Bikol,-1
same,English,0
sana,Bikol,0
santuan,Bikol,0
sarcastic,English,-1
saro,Bikol,0
sassignments,Bikol,-1
scholarly,English,1
scholarship,Bikol,1
school,Bikol,0
science,Bikol,1
scientific,English,1
scientifically-minded,English,1
screening,Bikol,1
sculpture,Tagalog,1
sculptures,Bikol,1
section,Bikol,1
see,English,-1
self-centered,English,-1
selfish,English,-1
sem,Bikol,1
semester,Bikol,-1
seminar,Bikol,0
serbisyo,Bikol,0
service-oriented,English,1
services,English,0
seryo,Bikol,0
she,English,0
should,English,0
show,Bikol,0
showcase,Bikol,1
shows,English,0
si,Tagalog,0
siguro,Tagalog,0
sila,Tagalog,0
silang,Tagalog,0
simple,Tagalog,0
since,English,-1
sinda,Bikol,0
sino,Tagalog,0
sir,Bikol,-1
siya,Tagalog,0
skilled,English,1
skillful,English,1
slides,Bikol,1
slow,English,-1
smart,Bikol,1
snob,English,-1
so,English,0
socially-aware,English,1
societal,English,1
sociology,Bikol,0
some,English,0
something,English,-1
somewhat,English,0
songs,Bikol,0
soulless,English,-1
speakers,Bikol,1
speaks,English,-1
spiritless,English,-1
spiritual,English,1
sports,Bikol,1
st201,Bikol,1
stable,English,0
standard,English,0
statistics,Bikol,0
steadfast,English,1
still,English,-1
stingy,English,-1
strategic,English,1
strategy,English,0
stress,Bikol,-1
stressful,Tagalog,-1
strong,English,1
structurally-aware,English,1
struggle,English,-1
struggling,English,-1
stubborn,English,-1
study,English,1
study-focused,English,1
studies,English,1
subject,Bikol,1
subjects,Bikol,-1
submitted,English,-1
submitting,English,-1
subong,Bikol,0
successful,English,1
such,English,0
sulatin,Tagalog,1
sumali,Tagalog,1
suporta,Bikol,-1
support,English,-1
suspicious,English,-1
symposium,Bikol,0
t,English,-1
ta,Bikol,-1
tabang,Bikol,1
takdang,Tagalog,1
taksil,Tagalog,-1
talagak,Bikol,0
talented,Bikol,0
talented,English,1
tama,Tagalog,0
tamad,Tagalog,-1
tanawin,Tagalog,1
tanganing,Bikol,0
tanum,Bikol,1
tapat,Tagalog,1
tapos,Tagalog,-1
taramsakan,Bikol,1
tasks,English,0
taught,English,-1
tayo,Tagalog,0
teacher,English,1
teacher-like,English,1
teachers,English,1
teaching,English,1
team,Bikol,0
team-player,English,1
technological,English,1
technology,Bikol,1
tech-savvy,English,1
term,Bikol,0
test,Bikol,1
than,English,0
that,English,0
the,Bikol,0
theater,Bikol,0
their,English,-1
theirs,English,0
them,English,0
themselves,English,0
then,English,0
theoretical,English,1
there,English,0
these,English,-1
thesis,Bikol,0
they,English,-1
this,Bikol,-1
those,English,0
though,English,-1
thoughtful,English,1
thoughtless,English,-1
through,English,0
timely,English,1
tiring,English,-1
to,English,1
too,English,-1
top,Bikol,1
topic,Bikol,0
topics,English,0
tour,Bikol,0
toxic,English,-1
training,Bikol,0
traitorous,English,-1
traits,English,-1
trips,Bikol,1
trivial,English,-1
trustworthy,English,1
trying,English,-1
tuition,Bikol,-1
tulad,Tagalog,0
tulong,Tagalog,1
tultol,Bikol,1
tulungan,Tagalog,0
tumaas,Tagalog,-1
tungkol,Tagalog,0
tv,Bikol,1
twice,English,-1
typical,English,0
ugali,Bikol,-1
ugly,English,-1
umaasa,Tagalog,1
umaasang,Tagalog,1
umaga,Tagalog,1
unable,English,-1
unaccountable,English,-1
unaimed,English,-1
unappreciative,English,-1
unaware,English,-1
unbelieving,English,-1
unbiased,English,-1
uncaring,English,-1
uncertain,English,-1
uncomprehending,English,-1
unconcerned,English,-1
unconscious,English,-1
under,English,0
understand,English,-1
understanding,English,1
undignified,English,-1
undisciplined,English,-1
ungrateful,English,-1
unhistoric,English,-1
unified,English,1
unimportant,English,-1
uninformed,English,-1
uninspired,English,-1
unjust,English,-1
unkind,English,-1
unmotivated,English,-1
unpeaceful,English,-1
unprincipled,English,-1
unrecognized,English,-1
unreliable,English,-1
unremarkable,English,0
unrewarding,English,-1
unsatisfied,English,-1
unstable,English,-1
until,English,0
untrustworthy,English,-1
unusual,English,0
up,Bikol,1
up-to-date,English,1
useless,English,-1
uswag,Bikol,-1
vague,English,-1
valuable,English,1
very,English,0
views,English,1
visionary,English,1
voiceless,English,-1
wala,Tagalog,0
walang,Tagalog,0
walang alaala,Tagalog,-1
walang alam,Tagalog,-1
walang batas,Tagalog,-1
walang boses,Tagalog,-1
walang dignidad,Tagalog,-1
walang direksyon,Tagalog,-1
walang disiplina,Tagalog,-1
walang galang,Tagalog,-1
walang gana,Tagalog,-1
walang hinaharap,Tagalog,-1
walang kaalaman,Tagalog,-1
walang kabaitan,Tagalog,-1
walang kabuluhan,Tagalog,-1
walang kakayahan,Tagalog,-1
walang kalaban-laban,Tagalog,-1
walang kaligayahan,Tagalog,-1
walang kaluluwa,Tagalog,-1
walang kapayapaan,Tagalog,-1
walang kasaysayan,Tagalog,-1
walang kasiglahaan,Tagalog,-1
