bicol,tagalog,english,label
Maogma akong mag-attend nin extracurricular activities.,Gusto ko sumali sa extracurricular activities.,I want to join extracurricular activities.,positive
Maogma an graduation day.,Masaya ang graduation day.,Graduation day is joyful.,positive
Nagayon an lesson kan professor.,Nagustuhan ko ang leksyon ng professor.,I enjoyed the professor's lesson.,positive
Nababangaran akong mag-atender nin early morning classes.,Nahihirapan akong mag-attend ng maagang klase.,I struggle to attend early classes.,negative
Naghali ako sa klase kan dai natapos an klase.,Nagpunta ako sa klase kahit hindi tapos ang klase.,I went to class even though it wasn't over yet.,negative
Nag-enjoy akong mag-research project.,Nagenjoy ako sa paggawa ng research project.,I enjoyed doing the research project.,neutral
Magayon an mga taramsakan sa klase.,Maganda ang mga tanawin sa klase.,The classroom views are beautiful.,positive
Maugma an mga aktibidad sa PE.,Natutuwa ako sa PE activities.,I enjoy PE activities.,positive
Malinigon an mga lecture slides.,Maayos ang lecture slides.,The lecture slides are good.,positive
Kaogmahan akong magsurat sa essay.,Natutuwa akong magsulat ng essay.,I enjoy writing essays.,positive
Madalum an topic sa philosophy.,Malalim ang paksa ng philosophy.,Philosophy topics are deep.,neutral
Nagra-rareg akong magpasabot kan project.,Nahihirapan akong intindihin ang proyekto.,I struggle to understand the project.,negative
Naboboringan akong magbasa nin long readings.,Nabo-bore ako sa mahahabang readings.,I get bored with long readings.,negative
Nagayon an teacher sa Filipino.,Masaya ako sa pagtuturo ng teacher sa Filipino.,I'm happy with the teacher's teaching in Filipino.,positive
Kadakol an naugma sa seminar.,Maraming natutunan sa seminar.,I learned a lot from the seminar.,positive
Magayon an science fair kan eskwela.,Maganda ang science fair sa eskwela.,The science fair at school is good.,positive
Napangadyakan akong mag-debate sa klase.,Natutuwa ako sa debate sa klase.,I enjoy debating in class.,positive
Dakul an mga estudyanteng interesado sa robotics.,Maraming interesado sa robotics.,Many are interested in robotics.,neutral
Nagayon an mga programa sa arts.,Maraming programa sa arts.,There are many programs in the arts.,neutral
Madalum an discussion kan physics.,Malalim ang diskusyon sa physics.,The discussion in physics is deep.,neutral
Nahiling ko an kaogmahan kan mga students.,Natutuwa ako sa mga estudyante.,I'm happy with the students.,positive
Dai ako masyadong intresado sa algebra.,Hindi ako interesado sa algebra.,I'm not interested in algebra.,negative
Talagak an assignments sa math.,Madami ang gawain sa math.,There's a lot of work in math.,neutral
Dakul lagi an mga events sa school quadrangle.,Maraming event sa school quadrangle lagi.,There are many events in the school quadrangle always.,neutral
Malinigon an computer laboratory.,Malinis ang computer laboratory.,The computer laboratory is clean and well-maintained.,positive
Nagayon an mga paintings sa art exhibit.,Magaganda ang mga paintings sa art exhibit.,The paintings in the art exhibit are beautiful.,positive
Kadakul an nagpartisipar sa clean-up drive.,Maraming dumalo sa clean-up drive.,Many attended the clean-up drive.,positive
Nagmamangno akong mag-review sa exam.,Nag-aalala ako sa pag-review para sa exam.,I'm worried about reviewing for the exam.,negative
Na-stress akong magkompletar kan project.,Stressful ang pagtapos ng proyekto.,Finishing the project is stressful.,negative
Maogma akong magbasa sa library.,Gusto ko magbasa sa library.,I like to read in the library.,positive
Kadakol an assignments sa history.,Maraming gawain sa history.,There's a lot of work in history.,neutral
Naghahanda akong magpresentar kan thesis.,Handa na akong magpresenta ng thesis.,I'm ready to present the thesis.,positive
Nagrarason akong magpasa nin late homework.,Nalalate ako sa pagpasa ng gawain.,I'm late in submitting assignments.,negative
Nagayon an mga palabas sa school theater.,Maraming palabas sa school theater.,There are many shows in the school theater.,neutral
Nagbabasa akong bago magklase.,Gusto ko magbasa bago magklase.,I like to read before class.,positive
Nagraragom akong mag-attend nin lectures.,Gusto ko mag-attend ng lectures.,I want to attend lectures.,positive
Magayon an mga tanum sa school garden.,Maganda ang mga halaman sa school garden.,The plants in the school garden are beautiful.,positive
Dakul an naugma sa film screening.,Maraming nagustuhan sa film screening.,Many liked the film screening.,positive
Kadakol an references sa library.,Maraming references sa library.,There are many references in the library.,neutral
Nakastress an quiz kanina.,Stressful ang quiz kanina.,The quiz earlier was stressful.,negative
Madalum an discussion sa economics.,Malalim ang discussion sa economics.,The discussion in economics is deep.,neutral
Napangadyakan akong mag-perform sa recital.,Nag-present ako sa recital.,I presented in the recital.,positive
Madalum an topic sa calculus.,Malalim ang topic sa calculus.,The topic in calculus is deep.,neutral
Maogma an sports fest kan eskwela.,Masaya ang sports fest sa eskwela.,The sports fest at school is fun.,positive
Nagayon an mga projects kan mga estudyante.,Maraming proyekto ang mga estudyante.,Students have many projects.,neutral
Nagraragom akong mag-join sa science club.,Gusto ko sumali sa science club.,I want to join the science club.,positive
Kadakol an nag-attend sa workshop.,Maraming dumalo sa workshop.,Many attended the workshop.,positive
Duwang beses ako nadismaya sa pagtukdo ni sir.,Dalawang beses akong nadismaya sa pagtuturo ni Sir.,I was disappointed twice by Sir's teaching.,negative
Naglalaom akong magraduate with honors.,Umaasa akong magtatapos ng may karangalan.,I hope to graduate with honors.,positive
Magayon an mga research outputs.,Maganda ang mga research outputs.,The research outputs are good.,positive
Magayon an mga libro sa bagong section sa library.,Maganda ang mga aklat sa bagong section ng library.,The books in the new library section are good.,positive
Nagraragom akong mag-apply for scholarship.,Gusto kong mag-apply ng scholarship.,I want to apply for a scholarship.,positive
Kaskas an pagpreparar para sa exam.,Maraming gawain sa paghahanda para sa exam.,There's a lot of work in preparing for the exam.,neutral
Nagra-rareg akong magtapos kan project.,Nagtapos ako ng proyekto.,I finished the project.,positive
Nagayon an mga activities sa school fair.,Maraming gawain sa school fair.,There's a lot of work in the school fair.,neutral
Kadakol an naugma sa workshop.,Maraming natuwa sa workshop.,Many liked the workshop.,positive
Masakit maghanap nin babadoon pag Corporate Attire Day.,Mahirap maghanap ng isusuot pag Corporate Attire Day.,It is difficult to look for something to wear on Corporate Attire Day.,negative
Kadakol an nag-attend sa seminar sa business.,Maraming nag-attend sa seminar sa business.,Many attended the seminar in business.,neutral
Naghahanda akong magsurat sa term paper.,Naghahanda ako para sa term paper.,I'm preparing for the term paper.,neutral
Nakakastress an mga requirements sa major subjects.,Stressful ang mga requirements sa major subjects.,The requirements in major subjects are stressful.,negative
Nagraragom akong magtapos nin maaga.,Handa na akong magtapos ng maaga.,I'm ready to graduate early.,positive
Nagayon an mga oragon na speakers sa conference.,Magagaling ang speakers sa conference.,The speakers at the conference are good.,positive
Maogma akong mag-join sa music club.,Gusto ko sumali sa music club.,I want to join the music club.,positive
Madalum an discussion kan political science.,Malalim ang discussion sa political science.,The discussion in political science is deep.,neutral
Nagayon an mga activities sa environmental awareness week.,Maraming activities sa environmental awareness week.,There are many activities in the environmental awareness week.,positive
Nakakaogma an mga contest sa literary festival.,Nakakaogma ang mga contest sa literary festival.,The contests in the literary festival are exciting.,positive
Nagayon an mga projects sa architecture.,Maraming proyekto sa architecture.,There are many projects in architecture.,neutral
Naghahanda akong magsubmit nin final paper.,Naghahanda ako para sa final paper.,I'm preparing for the final paper.,neutral
Nagayon an mga outputs sa fashion design.,Maganda ang mga outputs sa fashion design.,The outputs in fashion design are good.,positive
Kadakol an interesado sa culinary arts class.,Maraming interesado sa culinary arts class.,Many are interested in the culinary arts class.,positive
Nakastress an mga group projects.,Stressful ang mga group projects.,Group projects are stressful.,negative
Nagayon an mga outputs kan multimedia arts.,Magaganda ang mga outputs sa multimedia arts.,The outputs in multimedia arts are good.,positive
Nakakaogma an field trips.,Nakakaogma ang field trips.,Field trips are exciting.,positive
Nagraragom akong magtapos kan sem with flying colors.,Gusto kong magtapos ng may karangalan.,I want to graduate with honors.,positive
Magayon an mga exhibits sa science museum.,Magaganda ang mga exhibits sa science museum.,The exhibits in the science museum are good.,positive
Kadakol an naglaom na mag-top sa exam.,Maraming umaasang mag-top sa exam.,Many hope to top the exam.,positive
Madalum an topic sa psychology.,Malalim ang lesson sa psychology.,The lesson in psychology is deep.,neutral
Magayon an performance kan mga students sa recital.,Maganda ang performance ng mga estudyante sa recital.,The students' performance in the recital is good.,positive
Nagayon an mga murals sa school.,Magaganda ang mga mural sa paaralan.,The murals in the school are beautiful.,positive
Madalum an lesson sa organic chemistry.,Malalim ang aral sa organic chemistry.,The study of organic chemistry is deep.,neutral
Nagraragom akong mag-join sa debate team.,Nagbabalak akong sumali sa debate team.,I am planning to join the debate team.,neutral
Nagayon an mga activities sa language week.,May mga aktibidad sa language week.,There are activities for language week.,neutral
Kadakol an nag-attend sa open house.,Maraming dumalo sa open house.,Many attended the open house.,neutral
Nagayon an mga recipes sa culinary arts exhibit.,Mayroong mga recipe sa culinary arts exhibit.,There are recipes in the culinary arts exhibit.,neutral
Madalum an lecture sa statistics.,Malalim ang lecture sa estadistika.,The lecture on statistics is deep.,neutral
Magayon an mga writings sa school magazine.,Magaganda ang mga sulatin sa school magazine.,The writings in the school magazine are beautiful.,positive
Kadakol an participants sa sports clinic.,Maraming sumali sa sports clinic.,Many participated in the sports clinic.,neutral
Nagraragom akong mag-apply sa internship.,Nagbabalak akong mag-apply sa internship.,I am planning to apply for an internship.,neutral
Nagayon an mga songs sa choir concert.,May mga kanta sa choir concert.,There are songs in the choir concert.,neutral
Nagraragom akong mag-organize nin event., Planong mag-organize ng event., Planning to organize an event.,neutral
Madalum an lecture sa sociology., Malalim ang lecture sa sociology., The lecture on sociology is deep.,neutral
Magayon an mga outputs kan graphic design., Magaganda ang mga output ng graphic design., The outputs of graphic design are beautiful.,positive
Nagayon an mga activities sa health week.,May mga aktibidad sa health week.,There are activities for health week.,neutral
Kadakol an nagpartisipar sa leadership camp.,Maraming sumali sa leadership camp.,Many participated in the leadership camp.,neutral
Naghahanda akong magpresentar sa symposium.,Naghahanda akong mag-presenta sa symposium.,I am preparing to present at the symposium.,neutral
Magayon an mga innovations sa technology fair.,Magaganda ang mga inobasyon sa technology fair.,The innovations at the technology fair are beautiful.,positive
Kadakol an interesado sa financial literacy workshop.,Maraming interesado sa financial literacy workshop.,Many are interested in the financial literacy workshop.,positive
Nagayon an mga designs sa interior design exhibit.,May mga disenyo sa interior design exhibit.,There are designs in the interior design exhibit.,neutral
Nagayon an performance sa talent show.,Mayroong performance sa talent show.,There's a performance in the talent show.,neutral
Kadakol an nag-attend sa mental health seminar.,Maraming dumalo sa mental health seminar.,Many attended the mental health seminar.,neutral
Naghahanda akong magcomply sa requirements.,Naghahanda ako para sa mga kinakailangang gawain.,I am preparing for the necessary tasks.,neutral
Magayon an mga outputs kan fashion show.,Magaganda ang mga output ng fashion show.,The outputs of the fashion show are beautiful.,positive
Madalum an discussion sa world history.,Malalim ang diskusyon sa world history.,The discussion on world history is deep.,neutral
Magayon an performance sa dance showcase.,Magaganda ang performance sa dance showcase.,The performance in the dance showcase is beautiful.,positive
Kadakol an naugma sa film festival.,Maraming nagustuhan sa film festival.,Many liked the film festival.,positive
Nagayon an mga pieces sa photography exhibit.,May mga piraso sa photography exhibit.,There are pieces in the photography exhibit.,neutral
Naghahanda akong mag-apply for on-the-job training.,Nagbabalak akong mag-apply para sa on-the-job training.,I am planning to apply for on-the-job training.,neutral
Magayon an mga entries sa essay writing contest.,Magaganda ang mga entry sa essay writing contest.,The entries in the essay writing contest are beautiful.,positive
Madalum an lecture sa comparative literature.,Malalim ang lecture sa comparative literature.,The lecture on comparative literature is deep.,neutral
Magayon an mga projects kan fine arts students.,Magaganda ang mga proyekto ng mga estudyanteng fine arts.,The projects of fine arts students are beautiful.,positive
Kadakol an nag-attend sa academic conference.,Maraming dumalo sa academic conference.,Many attended the academic conference.,neutral
Nagayon an mga activities sa science week.,May mga aktibidad sa science week.,There are activities for science week.,neutral
Nagpepreparar akong magpresentar sa colloquium.,Naghahanda ako para sa colloquium.,I am preparing for the colloquium.,neutral
Magayon an mga sculptures sa art fair.,Magaganda ang mga sculpture sa art fair.,The sculptures in the art fair are beautiful.,positive
Kadakol an nag-attend sa creative writing workshop.,Maraming dumalo sa creative writing workshop.,Many attended the creative writing workshop.,neutral
Nagayon an mga costumes sa theater production.,May mga kastumo sa theater production.,There are costumes in the theater production.,neutral
Nagraragom akong mag-apply for master's degree.,Nagbabalak akong mag-apply para sa master's degree.,I am planning to apply for a master's degree.,neutral
Magayon an mga performances sa music festival.,Magaganda ang mga performance sa music festival.,The performances in the music festival are beautiful.,positive
Madalum an lesson sa engineering.,Malalim ang aral sa engineering.,The study of engineering is deep.,neutral
Magayon an mga activities sa career fair.,May mga aktibidad sa career fair.,There are activities for the career fair.,neutral
Naghahanda akong magsubmit nin thesis proposal.,Naghahanda ako para sa thesis proposal.,I am preparing for the thesis proposal.,neutral
Magayon an mga pieces sa craft fair.,Magaganda ang mga piraso sa craft fair.,The pieces in the craft fair are beautiful.,positive
Kadakol an nag-attend sa educational tour.,Maraming dumalo sa educational tour.,Many attended the educational tour.,neutral
Nagayon an mga presentations sa research conference.,May mga presentasyon sa research conference.,There are presentations at the research conference.,neutral
Magayon an mga activities sa language immersion program.,May mga aktibidad sa language immersion program.,There are activities for the language immersion program.,neutral
Kadakol an estudyanteng nasasakitan magbayad nin tuition fees.,Maraming students ang nahihirapan magbayad ng tuition fees.,There are many students struggling to pay their tuition fees.,negative
Nagayon an mga installations sa art exhibit.,May mga instalasyon sa art exhibit.,There are installations in the art exhibit.,neutral
Nagraragom akong magtapos nin cum laude,Nagbabalak akong magtapos ng cum laude.,I am planning to graduate cum laude.,positive
Magayon an pagkakatukdo. Matitibay magtukdo an mga propesor.,Magaganda ang mga aralin at mahuhusay magturo ang mga guro. Madaling maintindihan ang mga takdang aralin.,The lectures are good and the instructors are inspiring and informative.,positive
Dae ko maintindihan an paratukdo. Mabilison magtaram o kaya masungit at habo may naghahapot at nag-clarify.,Hindi ko maintindihan ang nagtuturo. Mabilis magsalita o kaya masungit at ayaw may nagtatanong at nagka-clarify.,I cannot understand the instructor. He speaks too fast or a snob and doesn't want to be asked for clarifications,negative
Magayunon an mga lesson pero dae akma an pagtukdo., Maganda ang mga lessons pero hindi tama ang pagturo.,The lessons are good but the lecture strategy is somewhat outdated.,neutral
Magayon an mga activities. Dakulon lang., Maganda ang mga activities. Masyado lang marami.,The activities are good but are too many.,neutral
Magayon an computer laboratory asin napangalas kita sa bagong smart TV asin camera sa laboratoryo kan ST201.,Maganda ang computer laboratory at namamangha kami sa bagong smart TV at camera sa ST201 na laboratory.,The computer laboratory is good and actually we are amazed now with the smart TV and camera in the ST201 room,positive
"Para sako, dawa ngani an kolehiyo nagtatao nin dakulang tabang asin suporta, kaipuhan pa man giraray an mga pagpapauswag, orog na ta ako personal na nakakahiling nin maraot na mga ugali kan mga paratukdo. Ini nakakadanyar sa salud nin isip kan lambang estudyante na naghihingoa man na mag-uswag alagad pinababa kan mga miyembro kan faculty na ini.","Para sa akin, kahit na ang kolehiyo ay nagbibigay ng maraming tulong at suporta, kailangan pa rin ang mga pagpapahusay, lalo na't ako mismo ay nakakakita ng mga nakakalason (masamang) katangian ng mga guro. Ito ay nakakapinsala sa kalusugan ng isip ng bawat mag-aaral na nagsisikap din na mapabuti ngunit ibinaba ng mga miyembro ng faculty na ito.","For me, although the college provides a lot of help and support, improvements are still needed, especially since I personally see toxic (bad) traits of the faculty. It is harmful to the mental health of every student who's also trying to improve but were put down by these faculty members.",negative
Bakong gabos nakakaresibe kan tabang asin suporta na kaipuhan ninda. ,Hindi lahat ay nakakatanggap ng tulong at suporta na kailangan nila. ,Not everyone can receive the assistance and support they need. ,negative
Sa hiling ko mas marahay kun igwa nin ibang paagi tanganing maaraman kan mga estudyante na igwa nin mga serbisyo na pwede nindang ma-avail.,Siguro mas maganda if may ibang paraan para malaman ng mga estudyante na may mga serbisyo silang pwedeng makuha.,I guess it would be better if there will be another way to let the students know there are services that they can avail.,neutral
"Kadaklan sa mga estudyante, nasasakitan sa pagbayad kan obligasyon ninda asin babayadan.",Karamihan sa mga estudyante nahihirapan magbayad ng obligasyon nila at bayarin.,Most of the students are struggling to pay their obligations and fees. ,negative
